Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
21/07/2012,Chiapas,U.A.N.L.- Tigres,0,4,A,2.93,3.34,2.6
21/07/2012,Club Tijuana,Puebla,2,0,H,1.91,3.58,4.49
21/07/2012,Cruz Azul,Monarcas,0,0,D,2.02,3.53,4.13
21/07/2012,Queretaro,Club Leon,0,2,A,3.82,3.25,2.22
22/07/2012,Monterrey,Club America,0,0,D,1.85,3.87,4.5
22/07/2012,Santos Laguna,Atl. San Luis,2,1,H,1.71,3.85,5.62
22/07/2012,Atlas,U.N.A.M.- Pumas,1,1,D,2.63,3.23,2.98
22/07/2012,Toluca,Guadalajara Chivas,2,1,H,2.52,3.33,3.06
23/07/2012,Atlante,Pachuca,0,0,D,2.65,3.38,2.84
28/07/2012,Monarcas,Monterrey,1,0,H,2.85,3.16,2.75
28/07/2012,Club Leon,Club Tijuana,4,0,H,1.95,3.38,4.32
28/07/2012,Club America,Chiapas,4,2,H,1.67,4.12,5.46
29/07/2012,Pachuca,Atlas,0,3,A,1.81,3.7,4.97
29/07/2012,U.A.N.L.- Tigres,Atlante,2,1,H,1.47,4.46,8.44
29/07/2012,Atl. San Luis,Cruz Azul,1,2,A,3.15,3.33,2.45
29/07/2012,Puebla,Toluca,1,3,A,2.45,3.36,3.18
29/07/2012,U.N.A.M.- Pumas,Queretaro,3,0,H,1.61,3.97,6.77
29/07/2012,Guadalajara Chivas,Santos Laguna,0,1,A,2.45,3.42,3.08
04/08/2012,Santos Laguna,Puebla,2,2,D,1.41,5.01,8.6
04/08/2012,Club Tijuana,U.N.A.M.- Pumas,1,0,H,2.69,3.17,2.96
04/08/2012,Monarcas,Atl. San Luis,3,3,D,1.79,3.65,5.32
04/08/2012,Cruz Azul,Guadalajara Chivas,0,0,D,2.04,3.53,3.98
04/08/2012,Queretaro,Pachuca,0,1,A,3.58,3.53,2.16
05/08/2012,Monterrey,Chiapas,2,1,H,1.54,4.24,7.01
05/08/2012,Atlas,U.A.N.L.- Tigres,0,0,D,3.12,3.24,2.52
05/08/2012,Toluca,Club Leon,2,1,H,2.83,3.34,2.72
06/08/2012,Atlante,Club America,2,2,D,2.85,3.59,2.54
11/08/2012,Chiapas,Atlante,1,2,A,2,3.7,3.87
11/08/2012,Club Leon,Santos Laguna,3,0,H,2.02,3.71,3.8
11/08/2012,Club America,Atlas,1,1,D,1.77,3.82,5.17
12/08/2012,Pachuca,Club Tijuana,2,2,D,2.08,3.43,3.96
12/08/2012,U.A.N.L.- Tigres,Queretaro,2,2,D,1.35,5.25,10.6
12/08/2012,Atl. San Luis,Monterrey,1,1,D,3.66,3.57,2.12
12/08/2012,Puebla,Cruz Azul,0,1,A,3.07,3.39,2.5
12/08/2012,U.N.A.M.- Pumas,Toluca,1,2,A,2.06,3.48,3.96
13/08/2012,Guadalajara Chivas,Monarcas,1,1,D,2.74,3.33,2.78
18/08/2012,Club Tijuana,U.A.N.L.- Tigres,2,1,H,2.95,3.21,2.67
18/08/2012,Cruz Azul,Club Leon,1,1,D,2.59,3.44,2.88
18/08/2012,Monarcas,Puebla,3,0,H,1.73,4.07,4.95
18/08/2012,Queretaro,Club America,0,4,A,3.95,3.85,1.95
19/08/2012,Monterrey,Atlante,1,1,D,1.65,3.98,5.96
19/08/2012,Santos Laguna,U.N.A.M.- Pumas,1,2,A,2.22,3.35,3.62
19/08/2012,Atl. San Luis,Guadalajara Chivas,0,1,A,2.87,3.3,2.67
19/08/2012,Atlas,Chiapas,1,1,D,2.19,3.43,3.61
19/08/2012,Toluca,Pachuca,1,0,H,2.33,3.43,3.27
25/08/2012,Chiapas,Queretaro,2,1,H,1.58,4.4,6.05
25/08/2012,Club Leon,Monarcas,1,3,A,1.91,3.82,4.17
25/08/2012,Club America,Club Tijuana,0,1,A,1.88,3.67,4.54
26/08/2012,Pachuca,Santos Laguna,0,0,D,2.29,3.58,3.22
26/08/2012,U.A.N.L.- Tigres,Toluca,1,1,D,1.93,3.66,4.29
26/08/2012,Puebla,Atl. San Luis,1,0,H,2.71,3.25,2.87
26/08/2012,U.N.A.M.- Pumas,Cruz Azul,0,1,A,2.79,3.26,2.76
26/08/2012,Guadalajara Chivas,Monterrey,1,2,A,2.54,3.37,2.96
27/08/2012,Atlante,Atlas,1,0,H,2.06,3.61,3.81
01/09/2012,Club Tijuana,Chiapas,2,0,H,1.99,3.39,4.38
01/09/2012,Monarcas,U.N.A.M.- Pumas,0,1,A,1.96,3.58,4.23
01/09/2012,Cruz Azul,Pachuca,1,1,D,1.85,3.7,4.69
01/09/2012,Queretaro,Atlante,0,1,A,3.58,3.62,2.12
02/09/2012,Monterrey,Atlas,1,1,D,1.61,4.32,5.82
02/09/2012,Santos Laguna,U.A.N.L.- Tigres,3,1,H,2.94,3.36,2.59
02/09/2012,Atl. San Luis,Club Leon,0,2,A,3.3,3.65,2.23
02/09/2012,Toluca,Club America,1,1,D,2.46,3.55,2.97
02/09/2012,Guadalajara Chivas,Puebla,1,1,D,1.81,3.73,4.86
15/09/2012,Chiapas,Toluca,2,0,H,2.54,3.38,2.96
15/09/2012,Pachuca,Monarcas,3,2,H,2.44,3.32,3.18
15/09/2012,Club Leon,Guadalajara Chivas,1,2,A,1.63,4.08,5.97
15/09/2012,Club America,Santos Laguna,2,0,H,1.82,4.04,4.34
16/09/2012,U.A.N.L.- Tigres,Cruz Azul,2,0,H,2.18,3.51,3.55
16/09/2012,Atlas,Queretaro,0,0,D,1.6,4.01,6.59
16/09/2012,Puebla,Monterrey,2,3,A,4.04,3.45,2.04
16/09/2012,U.N.A.M.- Pumas,Atl. San Luis,0,1,A,1.82,3.74,4.82
17/09/2012,Atlante,Club Tijuana,1,2,A,2.17,3.36,3.75
