Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
06/01/2018,Atlas,Club Leon,1,2,A,2.96,3.43,2.52
06/01/2018,Cruz Azul,Club Tijuana,0,0,D,1.72,3.75,5.65
07/01/2018,Monterrey,Monarcas,1,1,D,1.38,5.5,8.36
07/01/2018,Pachuca,U.N.A.M.- Pumas,2,3,A,1.88,3.76,4.44
07/01/2018,Necaxa,Veracruz,0,0,D,2.09,3.32,4.09
07/01/2018,Toluca,Guadalajara Chivas,1,1,D,2.13,3.51,3.68
08/01/2018,Queretaro,Club America,0,1,A,2.69,3.23,2.91
08/01/2018,Santos Laguna,Lobos BUAP,4,2,H,1.64,4.41,5.36
13/01/2018,Club Tijuana,Necaxa,1,0,H,2,3.4,4.34
13/01/2018,Monarcas,Puebla,1,0,H,2.51,3.42,3
13/01/2018,Club America,Pachuca,2,2,D,2.41,3.43,3.14
13/01/2018,Lobos BUAP,Queretaro,0,2,A,2.07,3.8,3.59
14/01/2018,U.A.N.L.- Tigres,Santos Laguna,2,1,H,1.76,4.02,4.85
14/01/2018,Club Leon,Toluca,3,1,H,2.3,3.65,3.17
14/01/2018,Guadalajara Chivas,Cruz Azul,1,3,A,2.62,3.22,3.01
14/01/2018,U.N.A.M.- Pumas,Atlas,3,1,H,2.23,3.47,3.47
15/01/2018,Veracruz,Monterrey,0,2,A,5.55,3.68,1.75
20/01/2018,Puebla,Veracruz,2,0,H,1.75,3.64,5.62
20/01/2018,Atlas,Toluca,1,3,A,2.86,3.47,2.59
20/01/2018,Cruz Azul,Club Leon,0,0,D,2.04,3.75,3.72
20/01/2018,Queretaro,U.A.N.L.- Tigres,0,0,D,4.09,3.41,2.06
21/01/2018,Monterrey,Club Tijuana,0,0,D,1.61,4.13,6.21
21/01/2018,Pachuca,Lobos BUAP,3,1,H,1.81,3.93,4.59
21/01/2018,Necaxa,Guadalajara Chivas,1,3,A,2.99,3.07,2.74
21/01/2018,U.N.A.M.- Pumas,Club America,0,0,D,3.02,3.41,2.5
22/01/2018,Santos Laguna,Monarcas,1,0,H,1.99,3.98,3.69
27/01/2018,Monarcas,Queretaro,1,0,H,2.23,3.42,3.53
27/01/2018,Club Tijuana,Puebla,2,0,H,2.14,3.32,3.91
27/01/2018,Lobos BUAP,U.N.A.M.- Pumas,1,1,D,2.57,3.73,2.72
28/01/2018,U.A.N.L.- Tigres,Pachuca,3,2,H,1.83,3.73,4.74
28/01/2018,Club Leon,Necaxa,0,4,A,1.91,3.79,4.21
28/01/2018,Club America,Atlas,1,0,H,1.73,3.77,5.51
28/01/2018,Guadalajara Chivas,Monterrey,1,2,A,3.26,3.39,2.37
28/01/2018,Toluca,Cruz Azul,1,1,D,2.87,3.41,2.61
29/01/2018,Veracruz,Santos Laguna,1,1,D,3.14,3.55,2.36
03/02/2018,Puebla,Guadalajara Chivas,2,0,H,2.55,3.41,2.95
03/02/2018,Atlas,Cruz Azul,2,1,H,3.81,3.34,2.16
03/02/2018,Queretaro,Veracruz,0,1,A,2.09,3.18,4.32
04/02/2018,Monterrey,Club Leon,5,1,H,1.61,4.41,5.7
04/02/2018,Santos Laguna,Club Tijuana,0,0,D,2.14,3.58,3.61
04/02/2018,Pachuca,Monarcas,2,3,A,1.83,3.74,4.7
04/02/2018,Club America,Lobos BUAP,5,1,H,1.79,3.84,4.82
04/02/2018,Necaxa,Toluca,0,0,D,2.68,3.34,2.84
04/02/2018,U.N.A.M.- Pumas,U.A.N.L.- Tigres,2,0,H,3.24,3.4,2.37
10/02/2018,Monarcas,U.N.A.M.- Pumas,1,2,A,2.42,3.47,3.09
10/02/2018,Club Tijuana,Queretaro,0,2,A,1.98,3.39,4.42
10/02/2018,Cruz Azul,Necaxa,0,2,A,2.16,3.3,3.88
10/02/2018,Lobos BUAP,Atlas,3,1,H,2.2,3.68,3.34
11/02/2018,U.A.N.L.- Tigres,Club America,1,1,D,2.13,3.39,3.84
11/02/2018,Club Leon,Puebla,2,1,H,2.14,3.68,3.51
11/02/2018,Guadalajara Chivas,Santos Laguna,0,2,A,2.52,3.43,2.97
11/02/2018,Toluca,Monterrey,2,1,H,2.87,3.46,2.59
12/02/2018,Veracruz,Pachuca,0,1,A,3.07,3.49,2.43
14/02/2018,Atlas,Necaxa,1,1,D,3.21,3.29,2.44
14/02/2018,Lobos BUAP,U.A.N.L.- Tigres,0,0,D,3.67,3.69,2.07
14/02/2018,Club America,Monarcas,4,1,H,1.8,3.83,4.8
15/02/2018,Queretaro,Guadalajara Chivas,2,2,D,2.94,3.2,2.69
15/02/2018,Santos Laguna,Club Leon,5,1,H,1.85,4.04,4.2
15/02/2018,Monterrey,Cruz Azul,2,2,D,2.14,3.44,3.74
15/02/2018,Puebla,Toluca,2,0,H,2.75,3.39,2.73
15/02/2018,U.N.A.M.- Pumas,Veracruz,1,2,A,1.9,3.65,4.43
15/02/2018,Pachuca,Club Tijuana,2,0,H,1.67,4.04,5.57
17/02/2018,Monarcas,Lobos BUAP,2,1,H,2.18,3.71,3.36
17/02/2018,Cruz Azul,Puebla,1,1,D,1.92,3.47,4.63
